location_name,wind_kph,humidity,precip_mm,temperature_celsius,comfortable_days
Doha,24.1,10,0.0,44.2,69
Bucharest,6.8,29,0.0,31.2,24
Moscow,19.1,78,0.0,20.2,65
Kigali,6.8,35,0.0,28.2,128
Basseterre,19.1,84,1.46,29.3,46
Castries,19.1,79,0.01,29.1,14
Kingstown,37.1,79,0.07,29.3,1
Apia,3.6,94,0.01,26.4,39
San Marino,19.1,61,0.0,26.1,29
'S Gravenjansdijk,16.9,83,0.05,17.0,25
Riyadh,28.1,5,0.0,43.3,50
Dakar,15.1,70,0.18,27.2,49
Belgrade,6.8,37,0.0,27.2,25
Victoria,19.1,74,0.0,28.1,1
Freetown,15.1,75,0.68,29.2,11
Singapore,4.0,79,0.07,28.3,1
Bratislava,9.0,39,0.0,26.3,25
Ljubljana,6.8,51,0.0,26.1,20
Honiara,9.7,82,0.0,24.6,2
Mogadishu,29.9,79,0.01,28.2,1
Pretoria,16.9,11,0.0,21.2,137
Seoul,6.1,83,0.0,24.2,31
Juba,16.6,29,0.0,35.4,88
Madrid,9.0,22,0.0,34.4,30
Khartoum,24.1,19,0.0,41.0,61
Paramaribo,6.8,94,0.09,25.2,89
Stockholm,19.1,63,0.39,17.3,41
Bern,3.6,47,0.0,24.3,23
Damascus,37.1,17,0.0,38.4,31
Dushanbe,19.1,16,0.14,33.2,49
Dodoma,19.1,42,0.0,27.0,58
Bangkok,13.0,79,0.05,29.1,6
Dili,12.2,71,0.0,23.1,56
Ban Lom,3.6,95,1.57,25.5,23
Nuku`Aloia,19.1,94,0.02,24.1,115
Port Of Spain,9.0,89,0.01,28.1,48
Tunis,11.2,43,0.0,31.1,30
Ankara,22.0,33,0.0,29.1,35
Ashgabat,11.2,13,0.0,40.3,37
Kampala,15.1,65,0.0,26.2,63
Kyiv,19.4,53,0.01,23.7,44
Abu Dhabi,22.0,51,0.0,37.3,56
London,16.9,73,0.19,21.2,26
Montevideo,6.8,80,0.0,2.2,24
Tashkent,11.2,16,0.0,36.2,57
Port Vila,6.1,94,0.1,22.2,99
Caracas,6.1,74,0.01,27.1,49
Hanoi,20.2,75,0.0,30.3,47
Sanaa,9.7,39,0.1,23.0,217
Lusaka,11.2,13,0.0,27.6,127
Harare,4.0,11,0.0,25.6,182
Kabul,30.2,16,0.0,27.7,75
Tirana,19.1,32,0.0,33.3,29
Algiers,22.0,58,0.0,28.4,36
Andorra La Vella,7.6,91,1.95,15.1,40
Luanda,15.1,69,0.0,25.3,42
Saint John's,16.9,75,0.0,29.3,49
Buenos Aires,6.1,60,0.0,4.2,40
Yerevan,15.1,14,0.0,38.2,34
Canberra,11.2,70,0.0,7.1,25
Vienna,28.1,40,0.0,30.1,26
Baku,19.1,30,0.0,33.1,33
Nassau,6.1,79,0.78,29.3,64
Manama,19.1,57,0.0,36.3,33
Dhaka,17.3,72,0.0,29.9,43
Bridgetown,33.1,75,0.0,30.1,9
Minsk,11.2,47,0.02,23.1,46
Brussels,38.9,46,0.0,19.4,23
Belmopan,3.6,84,0.0,28.4,60
Sarajevo,11.2,43,0.0,29.1,24
Gaborone,3.6,11,0.0,21.1,121
Bras,7.6,56,0.0,29.9,157
Sofia,3.6,33,0.0,30.4,22
Ouagadougou,13.0,67,0.49,32.2,55
Bujumbura,22.0,52,0.01,30.0,47
Ivory,10.4,20,0.0,26.3,70
Praia,25.9,62,0.0,27.2,77
Phnom Penh,4.0,79,0.0,31.1,2
Ngaoundere,6.8,69,0.96,25.2,115
Ottawa,3.6,89,0.01,23.1,14
Bangui,9.0,66,0.0,29.0,6
N'djamena,19.1,53,0.0,34.2,43
Santiago,3.6,81,0.0,3.2,2
Beijing,15.1,79,0.0,26.1,54
Bogot,16.6,19,0.0,34.8,30
Moroni,22.3,68,0.01,24.9,15
Brazzaville,13.0,58,0.0,29.1,25
San Ignacio,6.8,88,0.0,21.2,53
Zagreb,16.9,36,0.0,32.3,25
Havana,3.6,84,0.0,28.3,62
Nicosia,24.1,25,0.0,36.4,53
Prague,13.0,31,0.0,31.0,26
Kinshasa,13.0,58,0.0,29.1,26
Copenhagen,25.9,65,0.38,22.3,11
Roseau,6.1,59,0.13,30.2,26
Santo Domingo,11.2,94,0.31,28.1,99
Cairo,15.1,43,0.0,32.0,61
San Salvador,4.0,100,0.02,23.2,49
Malabo,11.2,79,0.18,30.3,4
Asmara,5.8,57,0.71,20.9,163
Tallinn,24.1,56,0.0,19.1,30
Mbabane,9.0,11,0.0,18.7,104
Addis Ababa,8.6,72,0.85,18.4,127
Suva,6.1,94,0.03,21.4,82
Helsinki,24.1,60,0.0,18.3,40
Paris,28.1,38,0.0,21.4,32
Libreville,11.2,74,0.0,28.1,4
Banjul,9.0,63,0.01,32.1,116
Tbilisi,24.1,31,0.0,37.4,42
Berlin,28.1,38,0.11,30.3,46
Accra,15.1,70,0.0,30.3,2
Athens,19.1,25,0.0,34.4,29
Saint George's,20.2,75,0.0,30.2,9
Guatemala City,15.1,94,0.0,19.0,12
Conakry,11.2,84,0.07,29.4,24
Bissau,20.2,66,0.41,31.4,112
Georgetown,11.2,89,1.31,28.1,62
Port-Au-Prince,3.6,94,0.0,25.1,29
Vatican City,16.9,43,0.0,31.0,41
Tegucigalpa,3.6,94,0.0,21.1,27
Budapest,24.1,26,0.0,33.1,32
New Delhi,13.0,79,0.0,31.0,77
Jakarta,6.8,94,0.15,24.4,1
Tehran,11.2,11,0.0,37.2,49
Baghdad,20.2,14,0.0,43.2,52
Dublin,20.2,55,0.09,16.2,2
Jerusalem,22.0,52,0.0,31.1,40
Rome,16.9,43,0.0,31.0,41
Port Royal,20.2,84,0.0,27.1,6
Tokyo,4.0,89,0.0,26.4,41
Amman,19.1,40,0.0,30.3,44
Astana,34.9,64,0.65,21.1,39
Nairobi,3.6,53,0.75,23.0,241
Kuwait City,3.6,13,0.0,44.6,53
Bishkek,14.8,28,0.02,28.5,49
Laos,5.8,89,0.05,21.2,28
Riga,20.2,44,0.0,23.0,46
Beirut,13.0,62,0.0,30.1,56
Maseru,14.8,18,0.0,12.6,118
Monrovia,22.0,75,0.04,30.3,2
Nan,3.6,94,0.31,26.4,17
Vaduz,11.2,73,0.96,23.1,39
Vilnius,19.1,36,0.0,25.2,51
Luxembourg,28.1,73,0.0,19.3,24
Antananarivo,9.0,36,0.0,24.1,98
Lilongwe,3.6,15,0.0,28.1,150
Kuala Lumpur,3.6,75,0.0,30.3,4
Bamako,3.6,53,0.0,34.2,81
Valletta,16.9,62,0.0,28.1,31
Nouakchott,20.2,76,0.0,26.1,81
Port Louis,6.8,69,0.05,24.1,100
Mexico City,9.0,88,0.01,13.4,5
Palikir,3.6,89,0.0,27.1,1
Chi Chi Khvar,4.7,11,0.0,35.0,37
Monaco,22.0,79,0.0,25.2,33
Ulaanbaatar,3.6,53,0.0,21.3,13
Podgorica,15.1,36,0.0,32.3,28
Rabat,16.9,61,0.0,24.2,81
Maputo,15.1,36,0.0,23.1,62
Windhoek,15.1,12,0.0,24.1,170
Yaren,42.8,43,0.0,31.3,21
Kathmandu,6.1,100,0.0,22.0,94
Amsterdam,56.2,82,0.15,15.0,33
Managua,3.6,94,0.0,26.3,139
Niamey,19.1,47,0.0,35.1,54
Abuja,13.0,70,0.05,30.2,11
Pyongyang,25.6,92,0.0,21.4,32
Skopje,11.2,32,0.0,34.1,25
Oslo,9.0,77,0.0,13.2,20
Muscat,16.9,20,0.0,40.1,54
Islamabad,8.3,43,0.0,33.9,50
National,3.6,60,0.11,27.4,148
Panama City,3.6,94,0.2,25.1,17
Port Moresby,13.0,89,0.0,24.4,17
Aurora,7.9,52,0.0,10.5,79
Lima,8.3,82,0.0,16.9,16
Warsaw,19.1,35,0.0,29.3,58
Lisbon,22.0,65,0.0,22.3,39
Doha,13.0,32,0.0,40.2,69
Bucharest,3.6,26,0.0,33.3,24
Moscow,22.0,38,0.0,22.0,65
Kigali,15.1,35,0.0,29.3,128
Basseterre,16.9,75,0.03,30.3,46
Castries,16.9,79,0.0,30.2,14
Kingstown,19.1,79,0.0,29.0,1
Apia,3.6,94,0.47,26.2,39
San Marino,19.1,24,0.0,33.1,29
'S Gravenjansdijk,43.9,49,0.03,19.0,25
Riyadh,24.1,5,0.0,42.3,50
Dakar,22.0,63,0.0,31.3,49
Belgrade,19.1,36,0.0,31.1,25
Victoria,3.6,79,0.01,28.1,1
Freetown,13.0,89,1.33,26.2,11
Singapore,11.2,75,0.0,29.2,1
Bratislava,33.1,36,0.0,31.2,25
Ljubljana,20.2,45,0.0,28.0,20
Honiara,9.4,84,0.02,25.3,2
Mogadishu,31.0,70,0.0,29.1,1
Pretoria,16.9,8,0.0,18.3,137
Seoul,19.1,89,0.09,25.1,31
Juba,20.5,30,0.29,34.7,88
Madrid,15.1,26,0.0,33.1,30
Khartoum,26.3,22,0.0,39.0,61
Paramaribo,6.8,94,0.0,26.2,89
Stockholm,20.2,64,0.0,18.1,41
Bern,11.2,83,0.13,19.3,23
Damascus,15.8,18,0.0,34.0,31
Dushanbe,11.2,20,0.0,34.2,49
Dodoma,13.0,42,0.0,28.3,58
Bangkok,11.2,84,0.0,28.1,6
Dili,7.6,74,0.0,24.0,56
Ban Lom,3.6,95,0.03,25.4,23
Nuku`Aloia,6.8,83,0.08,20.4,115
Port Of Spain,19.1,79,0.0,30.3,48
Tunis,24.1,33,0.0,37.2,30
Ankara,9.0,33,0.0,30.2,35
Ashgabat,25.9,13,0.0,39.4,37
Kampala,19.1,74,0.0,25.2,63
Kyiv,9.4,31,0.0,25.7,44
Abu Dhabi,13.0,25,0.0,40.2,56
London,34.9,82,0.1,15.2,26
Montevideo,3.6,81,0.0,6.3,24
Tashkent,6.8,15,0.0,35.3,57
Port Vila,3.6,88,0.0,17.2,99
Caracas,9.0,70,0.0,28.0,49
Hanoi,19.1,79,0.1,30.1,47
Sanaa,20.2,22,0.0,26.5,217
Lusaka,11.2,13,0.0,27.0,127
Harare,3.6,6,0.0,25.2,182
Kabul,21.2,11,0.0,30.1,75
Tirana,19.1,41,0.0,34.1,29
Algiers,15.1,55,0.0,29.1,36
Andorra La Vella,17.6,51,0.03,19.2,40
Luanda,15.1,61,0.0,26.3,42
Saint John's,16.9,70,0.15,29.0,49
Buenos Aires,15.1,70,0.0,5.1,40
Yerevan,3.6,18,0.02,35.0,34
Canberra,6.8,93,0.0,8.3,25
Vienna,3.6,57,0.0,25.2,26
Baku,15.1,43,0.0,30.2,33
Nassau,13.0,84,0.0,29.1,64
Manama,33.1,53,0.0,36.4,33
Dhaka,14.4,74,0.01,30.2,43
Bridgetown,25.9,79,0.09,29.4,9
Minsk,34.9,42,0.0,28.1,46
Brussels,22.0,52,0.23,19.3,23
Belmopan,9.0,100,0.0,26.0,60
Sarajevo,3.6,26,0.0,31.3,24
Gaborone,3.6,6,0.0,28.4,121
Bras,9.0,50,0.0,30.9,157
Sofia,13.0,33,0.0,31.0,22
Ouagadougou,20.2,59,0.0,32.2,55
Bujumbura,19.1,43,0.0,31.1,47
Ivory,19.1,35,0.0,24.3,70
Praia,15.1,74,0.0,26.0,77
Phnom Penh,9.0,89,0.0,29.3,2
Ngaoundere,11.2,65,0.23,26.2,115
Ottawa,6.8,100,0.0,19.4,14
Bangui,6.8,63,0.0,31.3,6
N'djamena,16.9,63,0.0,33.1,43
Santiago,3.6,93,0.0,-1.7,2
Beijing,19.1,89,0.06,23.2,54
Bogot,16.2,14,0.0,36.6,30
Moroni,30.2,74,0.02,25.0,15
Brazzaville,6.8,55,0.0,29.2,25
San Ignacio,6.1,100,0.0,19.3,53
Zagreb,3.6,41,0.0,31.3,25
Havana,3.6,89,0.0,27.1,62
Nicosia,15.1,27,0.0,36.1,53
Prague,6.8,82,0.0,16.1,26
Kinshasa,6.8,55,0.0,29.2,26
Copenhagen,33.1,68,0.0,18.2,11
Roseau,3.6,66,0.02,29.3,26
Santo Domingo,11.2,94,0.0,27.3,99
Cairo,19.1,36,0.0,34.3,61
San Salvador,6.1,100,0.0,23.3,49
Malabo,13.0,89,1.32,28.4,4
Asmara,16.6,44,0.47,23.3,163
Tallinn,20.2,64,0.01,19.1,30
Mbabane,28.1,24,0.0,24.3,104
Addis Ababa,6.5,61,0.71,19.8,127
Suva,16.9,83,0.48,21.0,82
Helsinki,28.1,68,0.04,20.3,40
Paris,16.9,40,0.0,20.2,32
Libreville,15.1,74,0.01,27.1,4
Banjul,3.6,100,0.0,25.4,116
Tbilisi,25.9,38,0.0,31.3,42
Berlin,22.0,38,0.0,22.0,46
Accra,22.0,75,0.05,29.2,2
Athens,20.2,27,0.0,35.0,29
Saint George's,28.1,94,0.29,25.2,9
Guatemala City,11.2,94,0.04,18.1,12
Conakry,6.8,84,1.5,28.3,24
Bissau,11.2,79,5.88,28.2,112
Georgetown,6.8,89,1.17,26.1,62
Port-Au-Prince,19.1,74,0.0,28.2,29
Vatican City,19.1,36,0.0,31.1,41
Tegucigalpa,3.6,94,0.07,20.2,27
Budapest,13.0,36,0.0,31.3,32
New Delhi,15.1,63,0.0,31.3,77
Jakarta,16.9,84,0.01,27.2,1
Tehran,22.0,12,0.0,37.2,49
Baghdad,11.2,16,0.0,43.1,52
Dublin,15.1,59,0.75,16.1,2
Jerusalem,19.1,49,0.0,32.3,40
Rome,19.1,36,0.0,31.1,41
Port Royal,28.1,79,0.01,29.1,6
Tokyo,13.0,89,0.0,27.2,41
Amman,25.9,36,0.0,31.0,44
Astana,15.1,94,0.4,19.2,39
Nairobi,16.9,61,1.05,23.2,241
Kuwait City,15.1,6,0.0,47.9,53
Bishkek,7.9,34,0.02,27.2,49
Laos,5.4,90,0.02,19.7,28
Riga,9.0,83,0.0,18.2,46
Beirut,25.9,70,0.0,30.0,56
Maseru,51.8,10,0.0,19.1,118
Monrovia,6.1,94,0.48,26.3,2
Nan,11.2,75,0.06,30.2,17
Vaduz,3.6,82,0.06,16.2,39
Vilnius,31.0,43,14.41,29.2,51
Luxembourg,22.0,45,0.01,18.2,24
Antananarivo,11.2,20,0.0,26.3,98
Lilongwe,8.6,15,0.0,25.8,150
Kuala Lumpur,6.1,79,0.04,29.2,4
Bamako,22.0,79,0.0,26.2,81
Valletta,13.0,66,0.0,28.4,31
Nouakchott,21.6,75,0.0,25.9,81
Port Louis,13.0,65,0.0,25.3,100
Mexico City,15.1,88,0.0,14.0,5
Palikir,6.1,100,1.36,25.3,1
Chi Chi Khvar,21.6,15,0.0,32.1,37
Monaco,9.0,79,0.01,26.3,33
Ulaanbaatar,11.2,44,0.0,25.1,13
Podgorica,3.6,28,0.0,34.0,28
Rabat,13.0,61,0.0,23.1,81
Maputo,31.0,30,0.0,25.1,62
Windhoek,31.0,9,0.0,23.0,170
Yaren,41.0,49,0.0,31.1,21
Kathmandu,3.6,89,0.06,24.1,94
Amsterdam,25.9,73,0.25,18.1,33
Managua,3.6,92,0.0,24.7,139
Niamey,25.9,44,0.0,35.3,54
Abuja,6.1,79,0.01,28.1,11
Pyongyang,15.1,94,0.0,20.0,32
Skopje,6.8,35,0.0,35.3,25
Oslo,15.1,72,0.22,15.2,20
Muscat,15.1,51,0.0,38.4,54
Islamabad,4.3,33,0.0,36.2,50
National,3.6,85,0.02,23.6,148
Panama City,3.6,94,0.0,26.3,17
Port Moresby,19.8,85,0.0,23.3,17
Aurora,13.0,54,0.0,13.2,79
Lima,8.3,84,0.0,17.0,16
Warsaw,9.0,78,0.0,22.3,58
Lisbon,20.2,46,0.0,22.2,39
Doha,13.0,54,0.0,37.3,69
Bucharest,3.6,28,0.0,33.2,24
Moscow,11.2,39,0.0,25.4,65
Kigali,13.0,37,0.0,27.2,128
Basseterre,24.1,84,0.02,28.3,46
Castries,15.1,70,0.01,29.0,14
Kingstown,28.1,70,0.06,30.1,1
Apia,3.6,94,0.91,26.3,39
San Marino,16.9,74,0.0,27.4,29
'S Gravenjansdijk,19.1,56,0.83,19.2,25
Riyadh,22.0,5,0.0,43.1,50
Dakar,11.2,79,0.0,29.2,49
Belgrade,3.6,36,0.0,32.3,25
Victoria,13.0,79,0.0,29.1,1
Freetown,20.2,75,0.3,29.2,11
Singapore,4.0,89,0.26,27.0,1
Bratislava,3.6,48,0.0,27.4,25
Ljubljana,11.2,58,0.1,26.2,20
Honiara,6.1,94,0.0,25.2,2
Mogadishu,31.0,70,0.0,29.3,1
Pretoria,25.9,8,0.0,19.3,137
Seoul,11.2,100,0.22,24.3,31
Juba,20.9,28,0.0,35.3,88
Madrid,16.9,25,0.0,29.2,30
Khartoum,32.4,27,0.0,36.9,61
Paramaribo,6.8,89,0.0,26.4,89
Stockholm,29.9,49,0.0,20.0,41
Bern,3.6,72,0.0,17.1,23
Damascus,23.8,24,0.0,34.0,31
Dushanbe,3.6,19,0.0,33.3,49
Dodoma,9.0,42,0.0,27.1,58
Bangkok,11.2,66,0.01,31.3,6
Dili,7.6,78,0.0,24.6,56
Ban Lom,3.6,94,0.0,25.7,23
Nuku`Aloia,19.1,64,0.0,20.2,115
Port Of Spain,3.6,89,1.77,27.0,48
Tunis,13.0,49,0.0,33.4,30
Ankara,16.9,30,0.0,33.1,35
Ashgabat,11.2,13,0.0,39.3,37
Kampala,15.1,69,0.0,25.2,63
Kyiv,10.4,32,0.0,27.9,44
Abu Dhabi,15.1,23,0.0,41.2,56
London,13.0,88,0.44,13.3,26
Montevideo,3.6,81,0.0,7.2,24
Tashkent,11.2,28,0.0,32.4,57
Port Vila,6.8,73,0.03,21.3,99
Caracas,4.0,70,0.0,28.1,49
Hanoi,19.1,71,0.0,31.2,47
Sanaa,11.5,28,0.01,24.9,217
Lusaka,7.9,12,0.0,26.3,127
Harare,10.8,8,0.0,24.1,182
Kabul,15.8,12,0.0,31.5,75
Tirana,16.9,44,0.0,35.3,29
Algiers,20.2,66,0.0,28.0,36
Andorra La Vella,16.9,37,0.0,22.0,40
Luanda,15.1,65,0.0,26.1,42
Saint John's,19.1,94,0.72,26.0,49
Buenos Aires,6.1,60,0.0,4.3,40
Yerevan,9.0,27,0.01,31.3,34
Canberra,3.6,100,0.35,9.4,25
Vienna,11.2,61,0.0,26.2,26
Baku,29.9,44,0.0,33.1,33
Nassau,13.0,79,0.0,30.0,64
Manama,29.9,48,0.0,38.2,33
Dhaka,16.2,76,0.0,29.3,43
Bridgetown,29.9,89,0.02,28.1,9
Minsk,15.1,58,2.14,27.3,46
Brussels,3.6,53,0.09,21.2,23
Belmopan,6.8,94,0.4,28.3,60
Sarajevo,9.0,36,0.04,31.3,24
Gaborone,3.6,21,0.0,15.4,121
Bras,6.1,52,0.0,30.7,157
Sofia,13.0,30,0.0,32.2,22
Ouagadougou,13.0,63,0.0,32.2,55
Bujumbura,9.7,48,0.06,22.8,47
Ivory,3.6,24,0.0,25.5,70
Praia,25.9,79,0.25,28.3,77
Phnom Penh,6.1,79,0.0,29.3,2
Ngaoundere,15.1,74,0.54,25.0,115
Ottawa,6.8,100,0.0,21.1,14
Bangui,9.0,59,0.0,33.1,6
N'djamena,20.2,53,0.0,35.3,43
Santiago,6.1,93,0.0,-0.7,2
Beijing,4.0,89,0.0,26.0,54
Bogot,14.4,12,0.0,37.3,30
Moroni,22.3,76,0.0,24.9,15
Brazzaville,3.6,55,0.0,29.2,25
San Ignacio,3.6,100,0.0,19.3,53
Zagreb,3.6,56,0.0,32.0,25
Havana,6.8,94,0.0,26.4,62
Nicosia,20.2,33,0.0,38.1,53
Prague,6.1,65,0.0,22.3,26
Kinshasa,3.6,55,0.0,29.2,26
Copenhagen,19.1,68,0.17,19.1,11
Roseau,6.1,75,0.08,29.2,26
Santo Domingo,11.2,84,1.2,28.3,99
Cairo,16.9,35,0.0,35.3,61
San Salvador,6.1,100,1.29,24.3,49
Malabo,9.0,100,0.0,24.1,4
Asmara,12.6,50,0.7,22.3,163
Tallinn,20.2,49,0.0,20.2,30
Mbabane,25.6,14,0.0,16.5,104
Addis Ababa,11.9,44,0.02,22.2,127
Suva,15.1,65,0.04,23.1,82
Helsinki,22.0,43,0.0,21.2,40
Paris,9.0,38,0.0,23.3,32
Libreville,13.0,79,0.01,26.0,4
Banjul,16.9,74,0.0,28.2,116
Tbilisi,16.9,34,0.0,32.1,42
Berlin,3.6,32,0.0,26.2,46
Accra,20.2,84,0.09,27.3,2
Athens,22.0,21,0.0,37.1,29
Saint George's,22.0,84,0.04,29.3,9
Guatemala City,3.6,97,0.01,17.6,12
Conakry,6.8,94,0.7,24.3,24
Bissau,11.2,79,0.08,26.1,112
Georgetown,11.2,94,0.15,26.3,62
Port-Au-Prince,9.7,57,0.0,29.6,29
Vatican City,3.6,41,0.0,33.1,41
Tegucigalpa,4.0,94,0.01,21.1,27
Budapest,16.9,41,0.0,32.2,32
New Delhi,6.8,84,0.0,29.0,77
Jakarta,6.8,84,0.64,28.0,1
Tehran,22.0,9,0.0,37.1,49
Baghdad,22.0,13,0.0,43.3,52
Dublin,16.9,59,0.0,17.3,2
Jerusalem,19.1,56,0.0,33.3,40
Rome,3.6,41,0.0,33.1,41
Port Royal,24.1,70,0.0,30.1,6
Tokyo,16.9,89,0.0,27.3,41
Amman,25.9,36,0.0,32.3,44
Astana,22.0,78,0.0,20.2,39
Nairobi,28.1,48,1.39,26.1,241
Kuwait City,15.1,10,0.0,46.2,53
Bishkek,14.0,83,3.62,18.7,49
Laos,5.8,91,0.05,20.1,28
Riga,9.0,50,0.0,22.3,46
Beirut,22.0,71,0.0,31.1,56
Maseru,43.9,41,0.0,4.0,118
Monrovia,19.1,84,0.7,28.1,2
Nan,6.8,67,0.03,32.3,17
Vaduz,11.2,69,0.05,22.3,39
Vilnius,11.2,46,0.0,22.1,51
Luxembourg,3.6,41,0.0,22.1,24
Antananarivo,9.0,34,0.0,24.2,98
Lilongwe,16.9,18,0.0,27.0,150
Kuala Lumpur,6.8,75,0.0,29.2,4
Bamako,15.1,74,0.0,28.3,81
Valletta,15.1,62,0.0,30.1,31
Nouakchott,24.8,69,0.0,25.5,81
Port Louis,16.9,61,0.0,25.1,100
Mexico City,9.0,64,0.01,18.1,5
Palikir,6.8,84,0.77,29.4,1
Chi Chi Khvar,18.0,13,0.0,33.9,37
Monaco,13.0,74,0.0,26.1,33
Ulaanbaatar,31.0,30,0.03,26.0,13
Podgorica,6.8,35,0.0,35.2,28
Rabat,15.1,61,0.0,23.4,81
Maputo,22.0,21,0.0,27.4,62
Windhoek,13.7,12,0.0,17.4,170
Yaren,41.0,41,0.0,34.3,21
Kathmandu,6.8,83,1.7,25.1,94
Amsterdam,3.6,64,0.02,20.4,33
Managua,6.8,100,0.01,25.1,139
Niamey,13.0,46,0.0,32.2,54
Abuja,16.9,79,0.04,27.2,11
Pyongyang,6.5,96,0.0,22.0,32
Skopje,11.2,35,0.0,37.0,25
Oslo,13.0,77,0.22,14.4,20
Muscat,29.9,67,0.0,36.3,54
Islamabad,6.8,32,0.0,36.5,50
National,6.5,81,0.0,22.4,148
Panama City,6.1,89,0.0,27.2,17
Port Moresby,9.0,83,0.0,24.2,17
Aurora,12.6,41,0.0,10.5,79
Lima,5.4,84,0.01,16.7,16
Warsaw,6.1,45,0.0,26.4,58
Lisbon,15.1,39,0.0,26.4,39
Doha,13.0,48,0.0,38.3,69
Bucharest,16.9,25,0.0,34.2,24
Moscow,11.2,34,0.0,27.2,65
Kigali,9.0,48,0.04,26.3,128
Basseterre,24.1,89,0.1,27.1,46
Castries,15.1,84,0.02,29.1,14
Kingstown,25.9,84,0.02,29.1,1
Apia,13.0,89,0.4,26.3,39
San Marino,15.1,70,0.0,28.3,29
'S Gravenjansdijk,6.8,64,0.13,19.0,25
Riyadh,11.2,5,0.0,43.2,50
Dakar,15.1,94,0.01,26.3,49
Belgrade,13.0,41,0.0,34.4,25
Victoria,25.9,84,0.1,27.3,1
Freetown,12.2,92,7.07,24.3,11
Singapore,6.8,79,0.0,27.2,1
Bratislava,13.0,58,0.0,28.3,25
Ljubljana,19.1,49,0.18,31.1,20
Honiara,13.7,87,0.0,25.5,2
Mogadishu,31.0,75,0.0,29.3,1
Pretoria,29.9,28,0.0,12.1,137
Seoul,4.0,89,0.94,24.3,31
Juba,11.9,21,0.0,37.0,88
Madrid,3.6,18,0.0,30.3,30
Khartoum,16.2,24,0.0,37.6,61
Paramaribo,4.0,89,1.11,27.1,89
Stockholm,15.1,60,0.0,18.3,41
Bern,6.8,48,0.02,26.2,23
Damascus,9.0,20,0.0,37.2,31
Dushanbe,15.1,26,0.0,32.1,49
Dodoma,3.6,33,0.0,29.1,58
Bangkok,11.2,70,0.0,30.3,6
Dili,10.4,77,0.0,24.4,56
Lom,3.6,43,0.0,26.6,12
Nuku`Aloia,22.0,69,0.07,21.3,115
Port Of Spain,3.6,79,0.0,27.4,48
Tunis,15.1,56,0.0,32.2,30
Ankara,16.9,28,0.0,34.4,35
Ashgabat,11.2,16,0.0,39.0,37
Kampala,6.8,58,0.19,27.1,63
Kyiv,9.4,31,0.0,30.0,44
Abu Dhabi,16.9,38,0.0,39.2,56
London,15.1,72,0.24,16.4,26
Montevideo,13.0,70,0.01,5.0,24
Tashkent,15.1,26,0.0,33.3,57
Port Vila,9.0,83,0.04,22.3,99
Caracas,6.8,74,0.09,26.1,49
Hanoi,19.1,75,0.0,32.1,47
Sanaa,15.8,18,0.02,28.2,217
Lusaka,10.1,10,0.0,27.2,127
Harare,14.0,7,0.0,26.0,182
Kabul,22.0,15,0.0,32.1,75
Tirana,20.2,56,0.01,33.3,29
Algiers,13.0,66,0.0,28.3,36
Andorra La Vella,16.2,35,0.0,23.2,40
Luanda,15.1,66,0.0,24.1,42
Saint John's,19.1,79,0.01,29.4,49
Buenos Aires,6.8,80,0.0,0.3,40
Yerevan,9.0,23,0.01,34.0,34
Canberra,13.0,100,0.0,9.1,25
Vienna,19.1,46,0.0,32.0,26
Baku,22.0,47,0.0,33.0,33
Nassau,9.0,75,0.0,30.2,64
Manama,19.1,30,0.0,40.1,33
Dhaka,19.8,72,0.16,30.5,43
Bridgetown,31.0,79,0.24,29.1,9
Minsk,11.2,39,0.0,26.2,46
Brussels,6.8,45,0.02,28.3,23
Belmopan,6.8,89,0.25,29.2,60
Sarajevo,9.0,38,0.0,32.2,24
Gaborone,3.6,16,0.0,16.2,121
Bras,4.0,59,0.0,28.5,157
Sofia,16.9,34,0.0,33.1,22
Ouagadougou,25.9,75,0.0,29.4,55
Bujumbura,11.5,54,0.08,22.4,47
Ivory,10.8,23,0.0,26.6,70
Praia,16.9,74,0.01,28.0,77
Phnom Penh,9.0,79,0.0,30.4,2
Ngaoundere,7.6,52,0.04,27.3,115
Ottawa,11.2,88,0.0,22.2,14
Bangui,3.6,56,0.09,30.6,6
N'djamena,16.9,59,0.0,32.1,43
Santiago,6.1,100,0.0,-0.8,2
Beijing,6.8,48,0.0,28.1,54
Bogot,19.1,13,0.0,38.2,30
Moroni,19.8,76,0.02,25.3,15
Brazzaville,5.4,29,0.0,34.5,25
San Ignacio,6.1,88,0.0,20.1,53
Zagreb,11.2,49,0.0,33.1,25
Havana,6.8,100,0.0,25.3,62
Nicosia,19.1,31,0.0,38.3,53
Prague,9.0,48,0.0,28.1,26
Kinshasa,5.4,28,0.0,34.7,26
Copenhagen,9.0,60,0.0,20.2,11
Roseau,6.8,66,0.08,30.2,26
Santo Domingo,11.2,89,0.0,27.2,99
Cairo,11.2,35,0.0,36.1,61
San Salvador,3.6,100,0.0,26.3,49
Malabo,3.6,91,0.86,24.1,4
Asmara,13.0,35,0.0,25.5,163
Tallinn,25.9,56,0.0,21.2,30
Mbabane,5.4,8,0.0,20.2,104
Addis Ababa,7.2,75,0.19,15.5,127
Suva,16.9,74,0.14,24.3,82
Helsinki,33.1,47,0.0,23.2,40
Paris,15.1,61,1.48,24.2,32
Libreville,14.4,67,0.0,26.5,4
