location_name,wind_kph,humidity,precip_mm,temperature_celsius,comfortable_days
Juba,33.1,10,0.0,30.3,88
Madrid,19.1,47,0.0,14.0,30
Khartoum,25.2,10,0.0,32.5,61
Paramaribo,7.6,96,0.0,24.4,89
Stockholm,11.2,40,0.0,20.0,41
Bern,3.6,82,0.13,14.0,23
Damascus,3.6,31,0.0,24.0,31
Dushanbe,3.6,37,0.05,29.0,49
Dodoma,19.1,57,0.0,25.0,58
Bangkok,15.1,75,0.11,31.0,6
Dili,14.4,77,0.03,28.0,56
Lom,29.9,43,0.0,19.0,12
Nuku`Aloia,33.1,100,2.09,23.0,115
Port Of Spain,3.6,89,0.03,26.0,48
Tunis,19.1,57,0.0,24.0,30
Ankara,13.0,45,0.02,16.0,35
Ashgabat,6.8,69,0.02,23.0,37
Kampala,3.6,60,0.02,25.7,63
Kyiv,13.0,53,0.25,13.8,44
Abu Dhabi,11.2,19,0.0,39.0,56
London,4.0,88,0.2,14.0,26
Montevideo,9.0,87,0.0,6.0,24
Tashkent,15.1,73,0.01,22.0,57
Port Vila,13.0,83,0.02,25.0,99
Caracas,3.6,84,0.05,26.0,49
Hanoi,6.8,62,0.03,30.0,47
Sanaa,12.6,27,0.01,25.7,217
Lusaka,14.4,46,0.0,21.8,127
Harare,9.7,37,0.0,20.2,182
Kabul,7.2,41,0.03,22.0,75
Tirana,6.8,45,0.0,29.0,29
Algiers,28.1,39,0.0,25.0,36
Andorra La Vella,10.1,76,0.22,6.3,40
Luanda,25.9,63,0.0,32.0,42
Saint John's,15.1,75,0.02,29.0,49
Buenos Aires,11.2,76,0.0,11.0,40
Yerevan,4.0,77,0.2,15.0,34
Canberra,3.6,100,0.0,5.0,25
Vienna,25.9,72,0.0,17.0,26
Baku,19.1,59,0.0,17.0,33
Nassau,25.9,79,0.0,29.0,64
Manama,16.9,42,0.0,36.0,33
Dhaka,12.6,41,0.0,34.2,43
Bridgetown,31.0,75,0.02,30.0,9
Minsk,6.8,34,0.0,17.0,46
Brussels,19.1,77,0.04,17.0,23
Belmopan,13.0,79,0.0,30.0,60
Sarajevo,3.6,83,0.02,20.0,24
Gaborone,11.2,19,0.0,29.0,121
Bras,6.5,61,0.0,31.4,157
Sofia,31.0,82,0.15,11.0,22
Ouagadougou,16.9,94,0.23,24.0,55
Bujumbura,33.1,55,0.34,31.0,47
Ivory,18.4,48,0.0,27.8,70
Praia,31.0,58,0.0,26.0,77
Phnom Penh,15.1,75,0.0,30.0,2
Ottawa,11.2,63,0.0,16.0,14
Bangui,3.6,53,0.0,35.0,6
N'djamena,11.2,25,0.0,42.0,43
Santiago,6.8,87,0.0,2.0,2
Beijing,6.8,47,0.0,23.0,54
Bogot,19.8,61,0.0,19.4,30
Moroni,28.1,79,0.04,25.8,15
Brazzaville,25.9,56,0.0,32.0,25
San Juan,9.0,89,0.02,23.0,10
Zagreb,15.1,68,0.68,20.0,25
Havana,16.9,75,0.0,29.0,62
Nicosia,25.9,54,0.0,26.0,53
Prague,41.0,49,0.02,19.0,26
Kinshasa,25.9,56,0.0,32.0,26
Copenhagen,34.9,42,0.0,18.0,11
Roseau,19.1,79,0.04,30.0,26
Santo Domingo,11.2,84,0.03,28.0,99
Cairo,37.1,23,0.0,32.0,61
San Salvador,6.8,89,0.33,26.0,49
Malabo,15.1,80,0.03,32.0,4
Asmara,10.8,52,0.67,22.2,163
Tallinn,29.9,37,0.0,20.0,30
Mbabane,7.6,38,0.0,22.5,104
Addis Ababa,11.2,39,0.0,26.0,127
Suva,3.6,100,0.4,24.0,82
Helsinki,24.1,30,0.0,26.0,40
Paris,11.2,52,0.04,18.0,32
Libreville,13.0,71,1.17,31.0,4
Banjul,13.0,52,0.0,30.0,116
Tbilisi,9.0,88,0.0,13.0,42
Berlin,38.9,31,0.0,24.0,46
Accra,16.9,71,0.0,31.0,2
Athens,19.1,43,0.0,21.0,29
Saint George's,24.1,66,0.03,31.0,9
Guatemala City,3.6,83,0.27,21.0,12
Conakry,11.2,71,0.05,31.0,24
Bissau,9.0,44,0.0,34.0,112
Georgetown,3.6,84,0.03,29.0,62
Port-Au-Prince,6.8,61,0.03,30.0,29
Vatican City,20.2,69,0.0,22.0,41
Tegucigalpa,4.0,69,0.01,25.0,27
Budapest,31.0,38,0.0,22.0,32
New Delhi,11.2,23,0.0,38.0,77
Jakarta,15.1,84,2.05,29.0,1
Tehran,25.9,17,0.0,26.0,49
Baghdad,19.1,16,0.0,35.0,52
Dublin,15.1,64,0.0,19.0,2
Jerusalem,22.0,51,0.0,25.0,40
Rome,20.2,69,0.0,22.0,41
Tokyo,19.1,44,0.0,18.3,41
Amman,22.0,21,0.0,25.0,44
Astana,19.1,41,0.0,15.0,39
Nairobi,11.2,54,0.95,25.0,241
Kuwait City,22.0,51,0.0,29.0,53
Bishkek,13.3,97,1.23,15.3,49
Laos,4.3,95,0.25,20.7,28
Riga,6.1,40,0.0,21.0,46
Beirut,6.8,61,0.0,23.0,56
Maseru,18.4,24,0.0,23.4,118
Monrovia,9.0,75,0.0,31.0,2
Nan,3.6,89,0.16,27.0,17
Vaduz,13.0,60,0.92,19.0,39
Vilnius,13.0,34,0.01,18.0,51
Luxembourg,16.9,63,0.03,17.0,24
Antananarivo,19.1,64,0.0,19.0,98
Lilongwe,15.1,47,0.0,24.0,150
Kuala Lumpur,3.6,100,0.02,25.0,4
Bamako,20.2,55,0.01,31.0,81
Valletta,11.2,61,0.0,26.0,31
Nouakchott,25.9,65,0.0,22.7,81
Port Louis,22.0,74,0.01,24.0,100
Mexico City,6.8,67,0.0,13.0,5
Palikir,4.0,94,0.36,25.0,1
Chi Chi Khvar,18.4,44,0.0,17.2,37
Monaco,29.9,73,0.4,20.0,33
Ulaanbaatar,11.2,36,0.0,16.0,13
Podgorica,3.6,57,0.0,24.0,28
Rabat,19.1,53,0.0,20.0,81
Maputo,15.1,61,0.0,26.0,62
Windhoek,20.2,24,0.0,24.0,170
Yaren,11.2,46,0.0,21.0,21
Kathmandu,9.0,57,0.0,25.0,94
Amsterdam,20.2,68,2.42,20.0,33
Managua,6.8,84,0.0,28.0,139
Niamey,29.9,23,0.0,40.0,54
Abuja,10.1,43,0.0,35.2,11
Pyongyang,6.1,46,0.0,11.6,32
Skopje,9.0,94,0.0,14.0,25
Oslo,46.1,42,0.0,18.0,20
Muscat,9.0,59,0.0,33.0,54
Islamabad,11.5,22,0.0,33.0,50
National,3.6,55,0.0,26.0,148
Panama City,9.0,84,0.33,28.0,17
Port Moresby,3.6,100,0.08,24.0,17
Pasto,26.3,50,0.0,24.5,5
Lima,7.2,81,0.0,19.0,16
Warsaw,31.0,28,0.0,21.0,58
Lisbon,20.2,60,0.0,19.0,39
Doha,19.1,35,0.0,35.0,69
Bucharest,19.1,32,0.0,20.0,24
Moscow,15.1,37,0.01,20.0,65
Kigali,11.2,42,0.22,28.0,128
Basseterre,15.1,75,0.0,30.0,46
Castries,20.2,70,0.01,30.0,14
Kingstown,33.1,75,0.0,30.0,1
Apia,13.0,89,0.44,27.0,39
San Marino,22.0,88,0.66,20.0,29
Riyadh,15.1,7,0.0,41.0,50
Dakar,15.1,70,0.0,26.0,49
Belgrade,42.8,56,0.08,20.0,25
Victoria,11.2,84,1.99,28.0,1
Freetown,16.9,79,0.01,29.0,11
Singapore,3.6,94,0.0,27.0,1
Bratislava,25.9,72,0.01,17.0,25
Ljubljana,22.0,72,0.64,17.0,20
Honiara,14.0,89,0.14,25.8,2
Mogadishu,28.1,75,0.21,30.0,1
Pretoria,6.8,23,0.0,26.0,137
Seoul,6.8,88,0.0,13.0,31
Juba,23.4,7,0.0,37.5,88
Madrid,24.1,39,0.0,18.0,30
Khartoum,12.2,6,0.0,38.4,61
Paramaribo,9.0,75,0.01,31.0,89
Stockholm,19.1,35,0.0,22.0,41
Bern,11.2,100,0.41,12.0,23
Damascus,22.0,14,0.0,29.0,31
Dushanbe,15.1,54,0.01,26.0,49
Dodoma,11.2,45,0.0,28.0,58
Bangkok,11.2,79,0.0,30.0,6
Dili,10.1,79,0.01,25.8,56
Lom,20.2,40,0.0,19.0,12
Nuku`Aloia,19.1,94,2.29,23.0,115
Port Of Spain,19.1,75,0.03,31.0,48
Tunis,20.2,37,0.0,27.0,30
Ankara,19.1,31,0.0,21.0,35
Ashgabat,51.8,100,0.08,18.0,37
Kampala,13.0,58,0.0,26.0,63
Kyiv,9.0,51,0.06,14.6,44
Abu Dhabi,13.0,33,0.0,36.0,56
London,11.2,77,0.01,15.0,26
Montevideo,9.0,71,0.0,12.0,24
Tashkent,22.0,65,0.0,23.0,57
Port Vila,6.8,89,0.05,23.0,99
Caracas,6.8,66,0.0,31.0,49
Hanoi,9.0,84,0.0,26.0,47
Sanaa,15.5,29,0.07,26.2,217
Lusaka,15.5,30,0.0,24.2,127
Harare,12.2,26,0.0,22.9,182
Kabul,5.4,75,0.69,15.0,75
Tirana,6.8,61,0.0,25.0,29
Algiers,15.1,30,0.0,25.0,36
Andorra La Vella,10.8,57,0.07,9.7,40
Luanda,24.1,75,0.0,29.0,42
Saint John's,20.2,66,0.01,31.0,49
Buenos Aires,11.2,67,0.01,13.0,40
Yerevan,11.2,25,0.0,17.0,34
Canberra,9.0,66,0.22,7.0,25
Vienna,6.8,88,0.01,14.0,26
Baku,29.9,72,0.0,14.0,33
Nassau,15.1,67,0.0,32.0,64
Manama,15.1,71,0.0,32.0,33
Dhaka,24.1,62,0.0,32.0,43
Bridgetown,34.9,75,0.01,31.0,9
Minsk,19.1,41,0.0,22.0,46
Brussels,13.0,88,0.17,14.0,23
Belmopan,9.0,80,0.0,32.0,60
Sarajevo,22.0,36,0.09,25.0,24
Gaborone,3.6,21,0.0,30.0,121
Bras,5.8,79,1.15,29.6,157
Sofia,15.1,63,0.0,17.0,22
Ouagadougou,4.3,26,0.0,38.9,55
Bujumbura,37.1,84,0.83,18.6,47
Ivory,5.4,57,0.0,23.7,70
Praia,24.1,48,0.0,28.0,77
Phnom Penh,3.6,79,0.0,30.0,2
Ottawa,9.0,78,0.0,20.0,14
Bangui,6.8,56,0.37,34.0,6
N'djamena,22.0,5,0.0,42.0,43
Santiago,6.1,57,0.06,9.0,2
Beijing,19.1,50,0.0,24.0,54
Bogot,15.5,76,0.0,16.7,30
Moroni,22.7,82,0.0,25.6,15
Brazzaville,3.6,59,0.0,32.0,25
San Juan,6.1,65,1.05,26.0,10
Zagreb,25.9,41,0.0,23.0,25
Havana,19.1,59,0.02,31.0,62
Nicosia,24.1,69,0.0,24.0,53
Prague,19.1,94,0.0,13.0,26
Kinshasa,3.6,59,0.0,32.0,26
Copenhagen,25.9,37,0.0,19.0,11
Roseau,9.0,66,0.42,31.0,26
Santo Domingo,6.8,67,0.0,32.0,99
Cairo,24.1,20,0.0,34.0,61
San Salvador,6.1,84,0.0,26.0,49
Malabo,13.0,84,0.0,31.0,4
Asmara,11.2,60,0.0,19.8,163
Tallinn,11.2,43,0.0,21.0,30
Mbabane,3.6,44,0.0,16.9,104
Addis Ababa,22.0,41,0.41,24.0,127
Suva,3.6,100,0.0,25.0,82
Helsinki,16.9,40,0.0,20.0,40
Paris,3.6,56,0.03,18.0,32
Libreville,15.1,79,0.25,30.0,4
Banjul,16.9,49,0.0,33.0,116
Tbilisi,38.9,48,0.0,15.0,42
Berlin,28.1,27,0.0,24.0,46
Accra,16.9,70,0.02,30.0,2
Athens,3.6,60,0.0,20.0,29
Saint George's,25.9,75,0.05,31.0,9
Guatemala City,15.1,61,0.13,25.0,12
Conakry,19.1,70,0.0,29.0,24
Bissau,19.1,47,0.0,35.0,112
Georgetown,11.2,94,0.73,27.0,62
Port-Au-Prince,22.0,63,0.02,32.0,29
Vatican City,11.2,38,0.0,23.0,41
Tegucigalpa,9.0,66,0.21,27.0,27
Budapest,13.0,82,0.04,15.0,32
New Delhi,3.6,21,0.0,36.0,77
Jakarta,3.6,74,0.06,28.0,1
Tehran,15.1,24,0.0,24.0,49
Baghdad,19.1,14,0.0,33.0,52
Dublin,9.0,77,0.0,17.0,2
Jerusalem,19.1,54,0.0,25.0,40
Rome,11.2,38,0.0,23.0,41
Tokyo,4.0,77,0.0,18.0,41
Amman,22.0,39,0.0,27.0,44
Astana,11.2,82,0.0,16.0,39
Nairobi,15.1,78,0.1,22.0,241
Kuwait City,3.6,21,0.0,34.8,53
Bishkek,6.5,74,0.0,16.4,49
Laos,5.4,96,0.07,20.4,28
Riga,19.1,46,0.0,20.0,46
Beirut,9.0,69,0.0,23.0,56
Maseru,9.4,33,0.0,16.4,118
Monrovia,13.0,75,0.0,31.0,2
Nan,3.6,83,0.92,26.9,17
Vaduz,15.1,63,0.61,16.0,39
Vilnius,11.2,38,0.0,22.0,51
Luxembourg,25.9,94,1.7,12.0,24
Antananarivo,11.2,78,0.0,19.0,98
Lilongwe,13.0,50,0.01,23.0,150
Kuala Lumpur,3.6,89,0.21,27.0,4
Bamako,3.6,44,0.13,34.0,81
Valletta,6.8,31,0.0,30.0,31
Nouakchott,27.0,67,0.0,22.0,81
Port Louis,25.9,61,0.0,24.0,100
